Date,Close/Last,Volume,Open,High,Low
09/28/2021,$243.77,3007728,$247.29,$247.71,$242.91
09/27/2021,$248.11,2463273,$246.00,$248.90,$245.275
09/24/2021,$246.42,2508923,$246.64,$247.38,$245.24
09/23/2021,$244.78,2941662,$243.74,$245.95,$243.53
09/22/2021,$243.13,3361958,$241.80,$245.86,$241.465
09/21/2021,$240.50,2008293,$240.00,$242.35,$239.40
09/20/2021,$239.09,4549932,$239.88,$241.96,$236.64
09/17/2021,$242.49,4756852,$243.84,$244.63,$241.88
09/16/2021,$243.21,3410681,$240.29,$243.59,$239.95
09/15/2021,$240.98,2507196,$240.47,$241.27,$238.18
09/14/2021,$241.13,2013793,$241.73,$242.25,$239.50
09/13/2021,$241.21,2294796,$240.83,$241.80,$239.84
09/10/2021,$239.18,2035199,$240.32,$241.32,$239.04
09/09/2021,$238.61,2992467,$238.42,$241.43,$237.77
09/08/2021,$238.62,2718376,$236.80,$239.46,$236.00
09/07/2021,$236.19,1820118,$238.61,$238.61,$235.95
09/03/2021,$238.82,1339289,$238.39,$239.65,$237.51
09/02/2021,$239.87,2140253,$239.20,$239.95,$238.38
09/01/2021,$238.15,2197240,$237.88,$239.04,$237.21
08/31/2021,$237.46,2938351,$235.75,$237.73,$234.67
08/30/2021,$236.59,2245565,$237.34,$237.76,$235.855
08/27/2021,$237.48,1784024,$237.43,$238.369,$236.3735
08/26/2021,$236.95,2008052,$238.79,$238.915,$235.92
08/25/2021,$238.83,1668152,$237.93,$239.60,$237.84
08/24/2021,$238.43,1687672,$240.39,$240.39,$238.32
08/23/2021,$239.66,2086876,$239.46,$240.07,$237.9875
08/20/2021,$238.49,1989849,$236.96,$239.39,$236.32
08/19/2021,$237.23,1455420,$236.68,$238.12,$236.065
08/18/2021,$238.08,2215750,$239.44,$239.76,$237.78
08/17/2021,$240.28,1651984,$240.35,$240.84,$238.21
08/16/2021,$240.97,2175409,$239.00,$241.05,$238.56
08/13/2021,$238.82,1699655,$236.79,$239.00,$236.27
08/12/2021,$236.67,1491013,$236.00,$236.76,$235.05
08/11/2021,$235.55,1969137,$234.19,$235.939,$233.75
08/10/2021,$233.45,2027812,$235.10,$235.10,$233.235
08/09/2021,$234.68,2093074,$235.79,$236.07,$234.03
08/06/2021,$236.26,1558759,$236.68,$237.14,$235.67
08/05/2021,$236.42,2230520,$235.74,$236.8099,$234.34
08/04/2021,$234.83,2240575,$236.45,$236.60,$233.05
08/03/2021,$236.95,3300009,$239.56,$239.95,$235.25
08/02/2021,$240.10,2693869,$244.24,$244.676,$239.69
07/30/2021,$242.71,2336831,$243.85,$245.41,$242.21
07/29/2021,$244.02,2572291,$243.32,$245.20,$242.9787
07/28/2021,$241.78,4948543,$242.50,$243.80,$239.35
07/27/2021,$246.35,3135186,$244.17,$247.05,$244.06
07/26/2021,$243.98,2638431,$242.00,$244.57,$241.5953
07/23/2021,$242.96,3996402,$240.13,$245.05,$239.60
07/22/2021,$238.67,2538299,$235.65,$239.685,$235.16
07/21/2021,$235.93,2147029,$235.98,$238.11,$235.22
07/20/2021,$234.27,3275605,$230.65,$235.52,$230.2149
07/19/2021,$229.26,3774949,$232.51,$233.315,$226.42
07/16/2021,$234.75,1681193,$237.79,$237.88,$234.38
07/15/2021,$236.88,2165952,$236.59,$237.39,$234.92
07/14/2021,$237.13,1993375,$237.03,$239.05,$236.6401
07/13/2021,$236.17,1884568,$235.66,$237.47,$235.195
07/12/2021,$235.61,2158655,$234.59,$236.24,$234.50
07/09/2021,$235.68,2560714,$234.07,$236.23,$233.06
07/08/2021,$232.84,1932661,$232.95,$233.83,$231.94
07/07/2021,$234.63,2069409,$231.92,$234.99,$231.72
07/06/2021,$232.75,1762707,$233.66,$233.90,$231.00
07/02/2021,$233.63,1851575,$233.08,$234.11,$232.44
07/01/2021,$232.27,2210460,$231.41,$232.3999,$230.75
06/30/2021,$230.99,2450791,$230.92,$232.25,$230.60
06/29/2021,$230.37,1932185,$231.53,$231.71,$230.05
06/28/2021,$231.09,2902037,$232.67,$232.75,$230.01
06/25/2021,$232.42,3000115,$232.74,$233.41,$232.34
06/24/2021,$233.33,1840079,$234.10,$235.1571,$232.735
06/23/2021,$233.24,1701512,$233.30,$234.45,$232.70
06/22/2021,$233.88,1758423,$233.49,$234.86,$232.43
06/21/2021,$232.90,2193090,$230.63,$233.225,$229.47
06/18/2021,$229.62,4408221,$231.47,$232.89,$228.82
06/17/2021,$233.88,1895716,$235.08,$236.27,$233.28
06/16/2021,$235.58,2951814,$237.21,$237.28,$233.78
06/15/2021,$236.35,1948582,$237.525,$237.8099,$235.66
06/14/2021,$236.98,1836842,$237.18,$237.7699,$234.8132
06/11/2021,$236.93,2654270,$235.00,$237.50,$234.71
06/10/2021,$234.59,2534059,$232.05,$234.90,$231.9301
